39421,"7798321151176","yogur yogs firme vainilla x 2 x 240 gr","240","gr",0.00
39423,"7798321151206","yogur yogs con colchon de duraznos x 160 gr","160","gr",0.00
39425,"7798321151084","yogur yogs bebible frutilla x 185 gr","185","gr",0.00
39427,"7798321151190","yogur yogs con colchon frutillas x 160 gr","160","gr",0.00
39429,"7798321150988","yogur yogs bebible entero vainilla x 1 kg","1","kg",0.00
39431,"7798321151237","yogur yogs con froot loops x 165 gr","165","gr",0.00
39433,"7798321151039","yogur yogs bebible frutilla entero x 900 gr","900","gr",0.00
39435,"7798321151121","yogur yogs firme vainilla x 190 gr","190","gr",0.00
39437,"7798321151251","yogur yogs cremoso frutilla x 2 x 240 gr","240","gr",0.00
39439,"7798321151053","yogur yogs bebible frutos del bosque x 900 gr","900","gr",0.00
39441,"7798321151244","yogur yogs con choco krispis x 165 gr","165","gr",0.00
39443,"7798321151510","yogur sancor vida firme frutilla x 190 gr","190","gr",0.00
39445,"7798321150353","yogur sancor vida bebible vainilla x 185 gr","185","gr",0.00
39447,"7798321151503","yogur sancor vida firme vainilla x 190 gr","190","gr",0.00
39449,"7798321152111","flan sancorito vainilla con caramelo x 110 gr","110","gr",0.00
39451,"7790742671653","bebida lactea sense entera caramel x 1 lt","1","lt",0.00
39453,"7790742872739","bebida lactea sense macchiato x 200 cm3","200","cm3",0.00
39455,"7790742872654","bebida lactea sense caramel x 200 cm3","200","cm3",0.00
39457,"7791337007246","yogur ser firme vainilla proby colageno x 190 gr","190","gr",0.00
39459,"7791337007864","yogur ser firme frutilla con colageno x 190 gr","190","gr",0.00
39461,"7790742387707","dulce de leche ser x 300 gr","300","gr",0.00
39463,"7791337006041","yogur ser batido descvainilla c prob x 140 gr","140","gr",0.00
39465,"7791337006706","yogur ser free batido frutilla frambuesa x 140 gr","140","gr",0.00
39467,"7790199000051","harina morixe leudante x 1 kg","1","kg",0.00
39469,"7791560074077","champagne mumm cuvee demi sec x 750 cm3","750","cm3",0.00
39471,"7791560040126","champagne mumm extra brut x 750 cm3","750","cm3",0.00
39473,"7791560512593","champagne mumm leger x 750 cm3","750","cm3",0.00
39475,"7791560520390","champagne mumm leger spritz x 750 cm3","750","cm3",0.00
39477,"80042532","pomodoro concentrado mutti doppio x 130 gr","130","gr",0.00
39479,"80042556","tomate mutti pulpa pomodoro x 400 gr","400","gr",0.00
39481,"80042563","tomate mutti passata di pomodoro x 700 gr","700","gr",0.00
39483,"8005110060007","tomate mutti pomodoro pelati x 400 gr","400","gr",0.00
39485,"7798179490519","galletas nsmarineras 5 cereales x 350 gr","350","gr",0.00
39487,"7798179490625","galletas nsmarineras c chia light x 350 gr","350","gr",0.00
39489,"7790272004112","aceite natura girasol x 5 lt","5","lt",0.00
39491,"7790577040983","vino trumpeter reserve rose de malbec x 750 cm3","750","cm3",0.00
39493,"7790577040617","vino trumpeter reserve pinot noir x 750 cm3","750","cm3",0.00
39495,"7790577040525","vino trumpeter sauvignon blanc x 750 cm3","750","cm3",0.00
39497,"7790577040631","vino trumpeter reserve torrontes x 750 cm3","750","cm3",0.00
39499,"7790577041515","vino trumpeter reserve cabernet sauvign x 750 cm3","750","cm3",0.00
39501,"7790577002882","vino trumpeter malbec syrah x 750 cm3","750","cm3",0.00
39503,"7790577004237","vino trumpeter reserve blend x 750 cm3","750","cm3",0.00
39505,"7790310984468","minitostaditas twistos jamon iberico ei x 100 gr","100","gr",0.00
39507,"7790310984420","minitostaditas twistos 4 quesos x 40 gr","40","gr",0.00
39509,"7790310984437","minitostaditas twistos 4 quesos x 100 gr","100","gr",0.00
39511,"7790387014617","yerba mate union suave envase flex x 1 kg","1","kg",0.00
39513,"7790387014624","yerba mate union suave envase flex x 500 gr","500","gr",0.00
39515,"7790150161128","capuccino la virginia espuma vainilla x 155 gr","155","gr",0.00
39517,"7790150211953","te la virginia en saquitos x 100 unid","100","uni",0.00
39519,"7790150006320","cafe la virginia torrado equilibrado x 250 gr","250","gr",0.00
39521,"7790150310267","te la virginia boldo x 25 unid","25","uni",0.00
39523,"7790150331088","te la virginia manzanilla c anis x 25 unid","25","uni",0.00
39525,"7790150340165","te la virginia menta peperina x 25 unid","25","uni",0.00
39527,"7790150100783","cafe la virginia instantaneo x 100 gr","100","gr",0.00
39529,"7790150006351","cafe la virginia torrado equilibrado x 500 gr","500","gr",0.00
39531,"7790150161029","capuccino la virginia mousse choc avella x 155 gr","155","gr",0.00
39533,"7790150330166","te la virginia manzanilla x 25 unid","25","uni",0.00
39535,"7790150250150","te la virginia con canela x 20 unid","20","uni",0.00
39537,"7790150320266","te la virginia tilo x 25 unid","25","uni",0.00
39539,"7790080033182","crema de leche sancor con vitaminas x 360 cm3","360","cm3",0.00
